 Teff  logg FeH   profile        filter     wave_min wave_eff wave_max   c1    e1    c2     e2    c3    e3    c4     e4 
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.614   0.6216    0.629 0.518 0.012 -0.325 0.029 1.055 0.029 -0.417 0.011
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.63   0.6377    0.645 0.467 0.015 -0.178 0.035 0.867 0.035 -0.344 0.013
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.646   0.6533    0.661 0.478 0.025 -0.183 0.059 0.849 0.059 -0.343 0.022
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.662   0.6694    0.677 0.479 0.027 -0.163 0.063 0.808 0.064 -0.327 0.023
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.678   0.6855    0.693 0.512 0.019 -0.231 0.045 0.856 0.045 -0.346 0.016
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.694   0.7017    0.709 0.488 0.017 -0.158  0.04 0.744 0.041 -0.301 0.015
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.71   0.7173    0.725 0.538 0.024 -0.246 0.058 0.803 0.058 -0.319 0.021
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.726   0.7334    0.741 0.474 0.032 -0.095 0.077 0.625 0.077 -0.254 0.028
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.742   0.7495    0.757 0.525 0.012 -0.214 0.028  0.73 0.028 -0.295  0.01
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.758   0.7656    0.773 0.491  0.01 -0.118 0.025 0.609 0.025 -0.248 0.009
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.774   0.7817    0.789 0.507 0.024 -0.146 0.056 0.628 0.057 -0.258 0.021
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.79   0.7974    0.805 0.499 0.012 -0.118 0.027 0.569 0.028 -0.232  0.01
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.806   0.8135    0.821 0.502  0.02 -0.117 0.048 0.536 0.048 -0.214 0.018
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.822   0.8296    0.837 0.475 0.017 -0.053 0.041 0.468 0.042 -0.194 0.015
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.838   0.8457    0.853 0.467  0.02 -0.032 0.046 0.439 0.047 -0.184 0.017
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.854   0.8613    0.869 0.471 0.023 -0.034 0.054 0.428 0.054 -0.181  0.02
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.87   0.8774    0.885 0.427 0.034  0.064 0.081 0.321 0.081 -0.143  0.03
4500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.886   0.8936    0.901 0.412 0.036  0.103 0.084 0.274 0.085 -0.127 0.031
